price,adress,size,rooms,half_rooms,Ingatlan állapota,Építés éve,Komfort,Emelet,Épület szintjei,Lift,Belmagasság,Légkondicionáló,"Átlag gázfogyasztás
                            |info|","Átlag áramfogyasztás
                            |info|",Rezsiköltség,Közös költség,Akadálymentesített,Fürdő és wc,Tájolás,Kilátás,Erkély mérete,Kertkapcsolatos,Tetőtér,Parkolás,Fűtés,Szigetelés,Energiatanúsítvány,Panelprogram,balcony,Parkolóhely ára
73.9,"IV. kerület, Istvántelek ",91.0,3.0,0,újszerű,1950 és 1980 között,duplakomfortos,földszint,2,|nincs megadva|,|nincs megadva|,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,|nincs megadva|,utcai,|nincs megadva|,nem,|nincs megadva|,"utca, közterület - ingyenes","padlófűtés, elektromos kazán",van - 10 cm,|nincs megadva|,,,
52.0,"IV. kerület, Dunakeszi utca ",62.0,2.0,1.0,felújított,1981 és 2000 között,összkomfortos,2,3,nincs,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem,külön helyiségben,|nincs megadva|,kertre néz,1 m|2|,nem,nem tetőtéri,"utca, közterület - ingyenes",távfűtés egyedi méréssel,|nincs megadva|,|nincs megadva|,|nincs megadva|,1.0,
254.58,"V. kerület, Erzsébet tér 5.",110.0,3.0,0,felújított,1950 előtt,duplakomfortos,2,5,van,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,|nincs megadva|,panorámás,3 m|2|,nem,nem tetőtéri,"utca, közterület - fizetős övezet",házközponti,|nincs megadva|,|nincs megadva|,,3.0,
48.2,"IV. kerület, Virág utca ",71.0,3.0,0,felújított,1981 és 2000 között,összkomfortos,1,10,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,40 000  Ft/hó,15 000  Ft/hó,|nincs megadva|,külön helyiségben,nyugat,utcai,4 m|2|,|nincs megadva|,|nincs megadva|,"utca, közterület - ingyenes","távfűtés egyedi méréssel, hűtő-fűtő klíma",|nincs megadva|,DD,|nincs megadva|,4.0,
114.0,"V. kerület, Bajcsy-Zsilinszky út ",120.0,4.0,0,jó állapotú,|nincs megadva|,összkomfortos,2,2,nincs,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,utcai,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,,
99.9,"V. kerület, Hercegprímás utca ",55.0,2.0,0,felújított,1950 előtt,összkomfortos,4,5,van,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,40 000  Ft/hó,|nincs megadva|,nem,egy helyiségben,|nincs megadva|,udvari,|nincs megadva|,nem,nem tetőtéri,"utca, közterület - fizetős övezet",|nincs megadva|,|nincs megadva|,|nincs megadva|,,,
207.39,"V. kerület, Sas utca ",98.0,3.0,0,felújított,1950 előtt,összkomfortos,2,4,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,dél,panorámás,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,,
68.9,"IV. kerület, Tél utca ",68.0,3.0,0,újszerű,2022,duplakomfortos,földszint,2,|nincs megadva|,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,15 000  Ft/hó,|nincs megadva|,|nincs megadva|,külön és egyben is,délkelet,udvari,20 m|2|,igen,|nincs megadva|,"utca, közterület - ingyenes",gázkazán,van - 15 cm,AA,,20.0,
79.6,"IV. kerület, Újpest-Központ ",68.0,3.0,0,új építésű,2023,összkomfortos,1,6,van,|nincs megadva|,van,Nincs gáz bekötve az ingatlanba,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,észak,utcai,4.6 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,"hőszivattyú, padlófűtés",van - 15 cm,|nincs megadva|,,4.6,|nincs megadva|
84.9,"V. kerület, Irányi utca 19-23.",83.0,3.0,1.0,felújítandó,|nincs megadva|,összkomfortos,3,5,van,3 m-nél magasabb,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,|nincs megadva|,udvari,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,távfűtés,|nincs megadva|,|nincs megadva|,,,
285.0,"V. kerület, Veres Pálné utca ",135.0,3.0,0,felújított,|nincs megadva|,duplakomfortos,2,|nincs megadva|,van,|nincs megadva|,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,utcai,5 m|2|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,5.0,
73.9,"V. kerület, Kálmán Imre utca ",62.0,2.0,0,felújított,1950 előtt,összkomfortos,1,4,van,3 m-nél magasabb,nincs,|nincs megadva|,|nincs megadva|,25 000  Ft/hó,18 000  Ft/hó,nem,külön helyiségben,nyugat,udvari,|nincs megadva|,nem,nem tetőtéri,"utca, közterület - fizetős övezet",gázkazán,nincs,|nincs megadva|,,,
290.0,"V. kerület, Bárczy István utca ",120.0,3.0,0,|nincs megadva|,1950 előtt,összkomfortos,3,5,van,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem,külön és egyben is,északnyugat,utcai,|nincs megadva|,nem,nem tetőtéri,"utca, közterület",gázkazán,|nincs megadva|,BB,,,
109.0,"IV. kerület, Tófalva utca ",118.0,4.0,0,újszerű,2001 és 2010 között,duplakomfortos,3,3,nincs,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem,külön és egyben is,|nincs megadva|,|nincs megadva|,7 m|2|,|nincs megadva|,|nincs megadva|,udvari beálló - benne van az árban,gázkazán,|nincs megadva|,|nincs megadva|,,7.0,
178.0,"V. kerület, Falk Miksa utca ",78.0,3.0,0,felújított,1950 előtt,duplakomfortos,3,4,van,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,21 000  Ft/hó,|nincs megadva|,egy helyiségben,nyugat,udvari,|nincs megadva|,nem,nem tetőtéri,"utca, közterület - fizetős övezet",gázkazán,|nincs megadva|,|nincs megadva|,,,
39.9,"IV. kerület, Munkásotthon utca ",59.0,1.0,2.0,közepes állapotú,1950 és 1980 között,összkomfortos,6,|nincs megadva|,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,10 000  Ft/hó,|nincs megadva|,|nincs megadva|,kelet,kertre néz,|nincs megadva|,|nincs megadva|,nem tetőtéri,|nincs megadva|,távfűtés egyedi méréssel,|nincs megadva|,|nincs megadva|,|nincs megadva|,,
85.6,"IV. kerület, Újpest-Központ ",74.0,4.0,0,új építésű,2023,összkomfortos,1,6,van,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,délkelet,utcai,5 m|2|,|nincs megadva|,|nincs megadva|,teremgarázs hely - megvásárolható,"hőszivattyú, padlófűtés",|nincs megadva|,|nincs megadva|,,5.0,|nincs megadva|
37.9,"IV. kerület, Nyár utca ",52.0,2.0,0,felújítandó,1950 és 1980 között,összkomfortos,2,több mint 10,van,3 m-nél alacsonyabb,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem,külön helyiségben,kelet,kertre néz,4 m|2|,nem,nem tetőtéri,"utca, közterület - ingyenes",távfűtés,van,|nincs megadva|,részt vett,4.0,
89.9,"IV. kerület, Mátyás tér 3.",73.0,4.0,0,újszerű,2021,duplakomfortos,1,3,nincs,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,délnyugat,|nincs megadva|,|nincs megadva|,|nincs megadva|,"legfelső emelet, nem tetőtéri",udvari beálló,gázkazán,|nincs megadva|,|nincs megadva|,,,
47.5,"IV. kerület, Erdősor út ",67.0,2.0,1.0,jó állapotú,1981 és 2000 között,összkomfortos,5,|nincs megadva|,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,kelet,panorámás,6 m|2|,nem,,"utca, közterület - ingyenes",házközponti,van,|nincs megadva|,,6.0,
43.5,"IV. kerület, Újpesti lakótelep ",54.0,2.0,0,felújított,1950 és 1980 között,összkomfortos,1,10,van,3 m-nél alacsonyabb,|nincs megadva|,Nincs gáz bekötve az ingatlanba,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem,|nincs megadva|,|nincs megadva|,udvari,4 m|2|,nem,nem tetőtéri,"utca, közterület",távfűtés egyedi méréssel,|nincs megadva|,|nincs megadva|,|nincs megadva|,4.0,
46.9,"IV. kerület, Újpest-Központ ",50.0,2.0,0,felújított,2001 és 2010 között,összkomfortos,4,5,van,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,15 000  Ft/hó,|nincs megadva|,külön helyiségben,délnyugat,utcai,|nincs megadva|,|nincs megadva|,|nincs megadva|,udvari beálló - bérelhető,"távfűtés, hűtő-fűtő klíma",|nincs megadva|,|nincs megadva|,,,|nincs megadva|
35.0,"V. kerület, Belváros ",15.0,1.0,0,felújított,1950 és 1980 között,|nincs megadva|,földszint,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,távfűtés,|nincs megadva|,|nincs megadva|,,,
239.0,"V. kerület, Havas utca ",134.0,3.0,0,felújított,|nincs megadva|,összkomfortos,1,|nincs megadva|,|nincs megadva|,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,nyugat,panorámás,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,gázkazán,|nincs megadva|,|nincs megadva|,,,
87.9,"V. kerület, Lipótváros ",73.0,2.0,0,jó állapotú,1950 előtt,összkomfortos,2,|nincs megadva|,van,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,délkelet,utcai,|nincs megadva|,|nincs megadva|,nem tetőtéri,|nincs megadva|,házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,,,
62.9,"V. kerület, Balassi Bálint utca ",52.0,2.0,0,felújítandó,1950 előtt,|nincs megadva|,félemelet,6,van,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,nyugat,kertre néz,|nincs megadva|,|nincs megadva|,nem tetőtéri,"utca, közterület",gáz (konvektor),|nincs megadva|,|nincs megadva|,,,
62.9,"IV. kerület, Nádor utca ",56.0,3.0,0,újszerű,2021,|nincs megadva|,2,2,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,11 000  Ft/hó,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,4 m|2|,|nincs megadva|,|nincs megadva|,|nincs megadva|,gázkazán,|nincs megadva|,|nincs megadva|,,4.0,
180.0,"V. kerület, Veres Pálné utca ",72.0,3.0,0,új építésű,2023,luxus,5,5,van,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem,külön és egyben is,kelet,udvari,8 m|2|,nem,"legfelső emelet, nem tetőtéri","utca, közterület - fizetős övezet","padlófűtés, hűtő-fűtő klíma",van,AA,,8.0,
59.9,"V. kerület, Lipótváros ",53.0,2.0,0,felújított,1950 előtt,összkomfortos,földszint,|nincs megadva|,nincs,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,10 800  Ft/hó,|nincs megadva|,|nincs megadva|,észak,udvari,|nincs megadva|,|nincs megadva|,nem tetőtéri,|nincs megadva|,egyéb,|nincs megadva|,|nincs megadva|,,,
67.85,"IV. kerület, Újpest ",53.0,2.0,0,új építésű,2023,összkomfortos,3,3,van,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,|nincs megadva|,|nincs megadva|,9.58 m|2|,|nincs megadva|,|nincs megadva|,teremgarázs hely - megvásárolható,"hőszivattyú, padlófűtés, gázkazán",van - 18 cm,BB,,9.58,5 M Ft
56.9,"IV. kerület, Káposztásmegyer I. lakótelep ",85.0,3.0,0,újszerű,1950 és 1980 között,összkomfortos,2,4,nincs,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,nyugat,utcai,5 m|2|,|nincs megadva|,nem tetőtéri,"utca, közterület - ingyenes",távfűtés,|nincs megadva|,|nincs megadva|,|nincs megadva|,5.0,
61.43,"IV. kerület, Újpesti lakótelep ",53.0,3.0,0,új építésű,2023,összkomfortos,1,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,délkelet,|nincs megadva|,8 m|2|,|nincs megadva|,nem tetőtéri,|nincs megadva|,gázkazán,|nincs megadva|,|nincs megadva|,,8.0,
179.9,"V. kerület, Kossuth Lajos tér ",113.0,3.0,1.0,felújítandó,1950 előtt,összkomfortos,földszint,6,van,3 m-nél magasabb,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,66 000  Ft/hó,nem,külön helyiségben,nyugat,panorámás,|nincs megadva|,nem,nem tetőtéri,"utca, közterület - fizetős övezet",házközponti,nincs,|nincs megadva|,,,
94.85,"V. kerület, Belváros ",100.0,3.0,0,felújítandó,1950 előtt,összkomfortos,4,6,van,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,kelet,panorámás,|nincs megadva|,|nincs megadva|,nem tetőtéri,"utca, közterület - fizetős övezet",távfűtés,|nincs megadva|,|nincs megadva|,,,
79.5,"V. kerület, Belváros ",71.0,2.0,1.0,közepes állapotú,1950 előtt,|nincs megadva|,földszint,|nincs megadva|,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,kelet,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem tetőtéri,|nincs megadva|,házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,,,
339.44,"V. kerület, Lipótváros ",203.0,4.0,0,felújított,|nincs megadva|,luxus,1,5,van,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,gázkazán,|nincs megadva|,|nincs megadva|,,,
35.49,"IV. kerület, Káposztásmegyer I. lakótelep ",36.0,1.0,0,közepes állapotú,1981 és 2000 között,összkomfortos,6,10,van,3 m-nél alacsonyabb,|nincs megadva|,Nincs gáz bekötve az ingatlanba,|nincs megadva|,|nincs megadva|,|nincs megadva|,igen,|nincs megadva|,délkelet,utcai,|nincs megadva|,nem,nem tetőtéri,"utca, közterület",távfűtés egyedi méréssel,|nincs megadva|,|nincs megadva|,|nincs megadva|,,
380.0,"V. kerület, Veres Pálné utca ",152.0,6.0,0,új építésű,2023,|nincs megadva|,6,6,van,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,nyugat,utcai,10 m|2|,nem,penthouse,"utca, közterület - fizetős övezet","hűtő-fűtő klíma, padlófűtés",van,AA,,10.0,
68.35,"IV. kerület, Újpest-Kertváros ",53.0,3.0,0,új építésű,2023,összkomfortos,3,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,délkelet,udvari,8 m|2|,|nincs megadva|,nem tetőtéri,|nincs megadva|,gázkazán,|nincs megadva|,|nincs megadva|,,8.0,
77.6,"IV. kerület, Újpest-Központ ",62.0,3.0,0,új építésű,2023,összkomfortos,3,6,van,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,észak,utcai,11.65 m|2|,|nincs megadva|,|nincs megadva|,teremgarázs hely - megvásárolható,"hőszivattyú, padlófűtés",van,AA++,,11.65,|nincs megadva|
82.8,"IV. kerület, Újpest-Központ ",68.0,3.0,0,új építésű,2023,összkomfortos,3,6,van,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,kelet,utcai,4.64 m|2|,|nincs megadva|,|nincs megadva|,teremgarázs hely - benne van az árban,"hőszivattyú, padlófűtés",van,AA++,,4.64,
79.0,"IV. kerület, Újpest-Központ ",66.0,3.0,0,új építésű,2023,összkomfortos,2,6,van,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,dél,udvari,6.1 m|2|,|nincs megadva|,|nincs megadva|,teremgarázs hely - megvásárolható,"hőszivattyú, padlófűtés",van,AA++,,6.1,|nincs megadva|
78.6,"IV. kerület, Újpest-Központ ",65.0,3.0,0,új építésű,2023,összkomfortos,2,6,van,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,dél,udvari,6.1 m|2|,|nincs megadva|,|nincs megadva|,teremgarázs hely - megvásárolható,"hőszivattyú, padlófűtés",van,AA++,,6.1,|nincs megadva|
75.0,"IV. kerület, Újpest-Központ ",65.0,3.0,0,új építésű,2023,összkomfortos,1,5,van,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,dél,udvari,6.1 m|2|,|nincs megadva|,|nincs megadva|,teremgarázs hely - megvásárolható,"hőszivattyú, padlófűtés",van,AA++,,6.1,|nincs megadva|
74.7,"IV. kerület, Újpest-Központ ",62.0,3.0,0,új építésű,2023,összkomfortos,2,6,van,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,dél,udvari,4.89 m|2|,|nincs megadva|,|nincs megadva|,teremgarázs hely - megvásárolható,"hőszivattyú, padlófűtés",van,AA++,,4.89,|nincs megadva|
72.9,"IV. kerület, Újpest-Központ ",63.0,3.0,0,új építésű,2023,összkomfortos,2,6,van,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,északnyugat,udvari,3.39 m|2|,|nincs megadva|,|nincs megadva|,|nincs megadva|,"hőszivattyú, padlófűtés",van,AA++,,3.39,
44.2,"IV. kerület, Újpest-Központ ",35.0,1.0,0,új építésű,2023,összkomfortos,3,6,van,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,észak,udvari,3.67 m|2|,|nincs megadva|,|nincs megadva|,teremgarázs hely - megvásárolható,"hőszivattyú, padlófűtés",van,AA++,,3.67,|nincs megadva|
72.3,"IV. kerület, Újpest-Központ ",62.0,3.0,0,új építésű,2023,összkomfortos,1,6,van,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,dél,udvari,4.89 m|2|,|nincs megadva|,|nincs megadva|,teremgarázs hely - megvásárolható,"hőszivattyú, padlófűtés",van,AA++,,4.89,|nincs megadva|
