price,adress,size,rooms,half_rooms,balcony,Ingatlan állapota,Építés éve,Komfort,Emelet,Épület szintjei,Lift,Belmagasság,Légkondicionáló,Akadálymentesített,"Átlag gázfogyasztás
                            |info|","Átlag áramfogyasztás
                            |info|",Rezsiköltség,Közös költség,Fürdő és wc,Tájolás,Kilátás,Erkély mérete,Kertkapcsolatos,Tetőtér,Parkolás,Parkolóhely ára,Fűtés,Szigetelés,Energiatanúsítvány,Panelprogram
64.9,"VIII. kerület, Kun utca 4.",65.0,3.0,0,5.0,újszerű,2001 és 2010 között,|nincs megadva|,3,7,van,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,23 000  Ft/hó,|nincs megadva|,|nincs megadva|,utcai,5 m|2|,|nincs megadva|,|nincs megadva|,teremgarázs hely - kötelező megvenni,6 M Ft,házközponti egyedi méréssel,van,|nincs megadva|,
19.9,"VIII. kerület, Mátyás tér ",26.0,1.0,0,,felújítandó,|nincs megadva|,összkomfortos,földszint,5,|nincs megadva|,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,8 000  Ft/hó,egy helyiségben,délkelet,udvari,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,gáz (konvektor),|nincs megadva|,|nincs megadva|,
72.9,"VIII. kerület, Horánszky utca ",84.0,3.0,0,,felújítandó,1950 előtt,összkomfortos,földszint,2,nincs,3 m-nél magasabb,|nincs megadva|,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,kelet,utcai,|nincs megadva|,nem,nem tetőtéri,"utca, közterület",,gáz (konvektor),|nincs megadva|,|nincs megadva|,
59.9,"VIII. kerület, Józsefváros - Népszínháznegyed ",82.0,2.0,1.0,,közepes állapotú,1950 és 1980 között,összkomfortos,1,3,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,utcai,|nincs megadva|,|nincs megadva|,|nincs megadva|,"utca, közterület",,gázkazán,|nincs megadva|,|nincs megadva|,
32.9,"VIII. kerület, Visi Imre utca ",34.0,1.0,0,,felújított,1950 előtt,összkomfortos,3,4,nincs,3 m-nél magasabb,nincs,nem,|nincs megadva|,|nincs megadva|,25 000  Ft/hó,7 850  Ft/hó,egy helyiségben,kelet,udvari,|nincs megadva|,nem,nem tetőtéri,"utca, közterület - ingyenes",,gáz (konvektor),|nincs megadva|,|nincs megadva|,
67.55,"VIII. kerület, Víg utca 35-39.",46.0,2.0,0,6.46,új építésű,2024,összkomfortos,4,7,van,|nincs megadva|,van,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,6.46 m|2|,|nincs megadva|,|nincs megadva|,teremgarázs hely - megvásárolható,"7,50 M Ft",|nincs megadva|,|nincs megadva|,AA+,
54.43,"VIII. kerület, Víg utca 35-39.",33.0,1.0,0,8.72,új építésű,2024,összkomfortos,1,7,van,|nincs megadva|,van,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,8.72 m|2|,|nincs megadva|,|nincs megadva|,teremgarázs hely - megvásárolható,"7,50 M Ft",|nincs megadva|,|nincs megadva|,AA+,
88.6,"VIII. kerület, Corvin sétány ",48.0,1.0,1.0,17.0,újszerű,2019,összkomfortos,földszint,8,van,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,|nincs megadva|,kertre néz,17 m|2|,igen,nem tetőtéri,teremgarázs hely - megvásárolható,|nincs megadva|,házközponti egyedi méréssel,van,|nincs megadva|,
49.9,"VIII. kerület, Józsefváros - Orczynegyed ",74.0,2.0,0,,közepes állapotú,1950 előtt,összkomfortos,1,2,nincs,3 m-nél magasabb,|nincs megadva|,nem,|nincs megadva|,|nincs megadva|,40 000 000  Ft/hó,16 400  Ft/hó,külön helyiségben,|nincs megadva|,udvari,|nincs megadva|,nem,nem tetőtéri,"utca, közterület - fizetős övezet",,gáz (konvektor),nincs,|nincs megadva|,
79.4,"VIII. kerület, Práter utca 35.",46.0,2.0,0,4.0,|nincs megadva|,2024,összkomfortos,1,7,van,3 m-nél alacsonyabb,van,nem,|nincs megadva|,|nincs megadva|,15 000  Ft/hó,15  Ft/hó,egy helyiségben,|nincs megadva|,utcai,4 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,12 M Ft,hőszivattyú,van,AA+,
97.9,"VIII. kerület, Bauer Sándor utca ",70.0,3.0,0,,felújított,1950 előtt,összkomfortos,1,5,van,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,14 075  Ft/hó,egy helyiségben,|nincs megadva|,utcai,|nincs megadva|,nem,nem tetőtéri,"utca, közterület",,elektromos fűtőpanel,|nincs megadva|,|nincs megadva|,
48.99,"VIII. kerület, Józsefváros - Losoncinegyed ",64.0,1.0,3.0,4.0,felújított,1950 és 1980 között,összkomfortos,9,10,van,3 m-nél alacsonyabb,van,|nincs megadva|,Nincs gáz bekötve az ingatlanba,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,kelet,utcai,4 m|2|,nem,nem tetőtéri,"utca, közterület - fizetős övezet",,távfűtés egyedi méréssel,van - 5 cm,|nincs megadva|,részt vett
79.5,"VIII. kerület, Józsefváros - Corvinnegyed ",113.0,4.0,0,,közepes állapotú,1950 és 1980 között,|nincs megadva|,1,|nincs megadva|,van,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,kelet,utcai,|nincs megadva|,|nincs megadva|,nem tetőtéri,|nincs megadva|,,|nincs megadva|,|nincs megadva|,|nincs megadva|,
79.9,"VIII. kerület, Puskin utca ",93.0,2.0,0,,felújított,1950 előtt,összkomfortos,2,3,van,3 m-nél magasabb,nincs,nem,|nincs megadva|,|nincs megadva|,35 000  Ft/hó,17 000  Ft/hó,külön és egyben is,nyugat,utcai,|nincs megadva|,nem,nem tetőtéri,"utca, közterület - fizetős övezet",,házközponti,|nincs megadva|,|nincs megadva|,
43.0,"VIII. kerület, Tömő utca ",37.0,1.0,0,,jó állapotú,1950 és 1980 között,összkomfortos,félemelet,3,nincs,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,10 000  Ft/hó,|nincs megadva|,egy helyiségben,északkelet,utcai,|nincs megadva|,|nincs megadva|,nem tetőtéri,|nincs megadva|,,gázkazán,|nincs megadva|,|nincs megadva|,
28.9,"VIII. kerület, Leonardo da Vinci utca ",32.0,1.0,0,,jó állapotú,1950 előtt,összkomfortos,félemelet,4,nincs,3 m-nél magasabb,nincs,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,8 692  Ft/hó,egy helyiségben,délnyugat,kertre néz,|nincs megadva|,igen,nem tetőtéri,"utca, közterület - fizetős övezet",,fan-coil,|nincs megadva|,|nincs megadva|,
71.76,"VIII. kerület, Víg utca 35-39.",45.0,2.0,0,18.3,új építésű,2024,összkomfortos,6,7,van,|nincs megadva|,van,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,18.3 m|2|,|nincs megadva|,|nincs megadva|,teremgarázs hely - megvásárolható,"7,50 M Ft",|nincs megadva|,|nincs megadva|,AA+,
54.9,"VIII. kerület, Kőfaragó utca ",79.0,2.0,0,,felújítandó,1950 előtt,összkomfortos,földszint,3,|nincs megadva|,3 m-nél magasabb,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,|nincs megadva|,utcai,|nincs megadva|,nem,nem tetőtéri,"utca, közterület - fizetős övezet",,|nincs megadva|,|nincs megadva|,|nincs megadva|,
110.0,"VIII. kerület, Homok utca ",58.0,2.0,0,58.0,|nincs megadva|,2022,összkomfortos,6,6,van,3 m-nél alacsonyabb,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,délnyugat,panorámás,58 m|2|,nem,|nincs megadva|,"utca, közterület - fizetős övezet",,mennyezeti hűtés-fűtés,|nincs megadva|,|nincs megadva|,
65.0,"VIII. kerület, Tömő utca ",41.0,1.0,1.0,7.0,|nincs megadva|,2022,komfortos,3,7,van,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,23 000  Ft/hó,külön helyiségben,délkelet,kertre néz,7 m|2|,|nincs megadva|,nem tetőtéri,"utca, közterület - fizetős övezet",,házközponti egyedi méréssel,|nincs megadva|,BB,
45.9,"VIII. kerület, Józsefváros - Orczynegyed ",45.0,2.0,0,5.0,jó állapotú,2001 és 2010 között,összkomfortos,2,6,van,3 m-nél alacsonyabb,van,igen,Nincs gáz bekötve az ingatlanba,120 kWh/hó,15 000  Ft/hó,13 000  Ft/hó,egy helyiségben,nyugat,kertre néz,5 m|2|,igen,nem tetőtéri,teremgarázs hely - megvásárolható,|nincs megadva|,házközponti egyedi méréssel,van - 10 cm,BB,
63.5,"VIII. kerület, József körút ",82.0,2.0,0,,közepes állapotú,1950 előtt,|nincs megadva|,1,3,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,28 980  Ft/hó,|nincs megadva|,nyugat,utcai,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,gázkazán,|nincs megadva|,|nincs megadva|,
34.9,"VIII. kerület, Orczy tér ",31.0,1.0,0,4.0,jó állapotú,2001 és 2010 között,összkomfortos,2,|nincs megadva|,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,1 m|3|/hó,80 kWh/hó,|nincs megadva|,8 000  Ft/hó,egy helyiségben,|nincs megadva|,utcai,4 m|2|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,távfűtés,|nincs megadva|,|nincs megadva|,
28.9,"VIII. kerület, Illés utca 18.",49.0,2.0,0,,felújítandó,1950 előtt,összkomfortos,2,2,nincs,3 m-nél magasabb,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,nyugat,utcai,|nincs megadva|,|nincs megadva|,|nincs megadva|,"utca, közterület - fizetős övezet",,gázkazán,|nincs megadva|,|nincs megadva|,
53.0,"VIII. kerület, Józsefváros - Corvinnegyed ",50.0,2.0,0,,felújított,1981 és 2000 között,|nincs megadva|,1,|nincs megadva|,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,északkelet,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem tetőtéri,|nincs megadva|,,|nincs megadva|,|nincs megadva|,|nincs megadva|,
53.0,"VIII. kerület, Józsefváros - Corvinnegyed ",50.0,2.0,0,,felújított,1981 és 2000 között,|nincs megadva|,1,|nincs megadva|,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,északkelet,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem tetőtéri,|nincs megadva|,,|nincs megadva|,|nincs megadva|,|nincs megadva|,
63.32,"VIII. kerület, Lovassy László utca 4/A",45.0,2.0,0,6.3,új építésű,2025,összkomfortos,3,5,van,|nincs megadva|,van,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,dél,utcai,6.3 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,"6,50 M Ft","fan-coil, hőszivattyú",van - 15 cm,AA,
52.9,"VIII. kerület, Népszínház utca ",68.0,2.0,0,,jó állapotú,1950 és 1980 között,összkomfortos,2,5,van,3 m-nél magasabb,|nincs megadva|,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,északkelet,utcai,|nincs megadva|,nem,nem tetőtéri,"utca, közterület",,gáz (konvektor),|nincs megadva|,|nincs megadva|,
90.0,"VIII. kerület, Józsefváros - Orczynegyed ",92.0,4.0,0,18.0,felújított,1981 és 2000 között,|nincs megadva|,9,|nincs megadva|,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,északkelet,|nincs megadva|,18 m|2|,|nincs megadva|,zárószint,|nincs megadva|,,|nincs megadva|,|nincs megadva|,|nincs megadva|,
69.0,"VIII. kerület, Józsefváros - Orczynegyed ",93.0,3.0,0,10.0,közepes állapotú,2001 és 2010 között,|nincs megadva|,2,|nincs megadva|,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,délnyugat,utcai,10 m|2|,|nincs megadva|,nem tetőtéri,|nincs megadva|,,házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,
68.8,"VIII. kerület, József utca 29.",44.0,2.0,0,8.0,újszerű,2022,összkomfortos,1,8,van,3 m-nél alacsonyabb,van,|nincs megadva|,Nincs gáz bekötve az ingatlanba,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,északnyugat,utcai,8 m|2|,nem,|nincs megadva|,|nincs megadva|,,"mennyezeti hűtés-fűtés, hőszivattyú",|nincs megadva|,BB,
41.8,"VIII. kerület, József utca ",65.0,2.0,0,,felújítandó,1950 előtt,összkomfortos,földszint,2,nincs,3 m-nél magasabb,|nincs megadva|,nem,|nincs megadva|,|nincs megadva|,25 000  Ft/hó,|nincs megadva|,|nincs megadva|,délkelet,utcai,|nincs megadva|,nem,nem tetőtéri,"utca, közterület",,gázkazán,|nincs megadva|,|nincs megadva|,
49.9,"VIII. kerület, Üllői út 66B",98.0,2.0,1.0,,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,házközponti,|nincs megadva|,|nincs megadva|,
101.94,"VIII. kerület, Víg utca 35-39.",68.0,3.0,0,12.22,új építésű,2024,összkomfortos,6,7,van,|nincs megadva|,van,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,12.22 m|2|,|nincs megadva|,|nincs megadva|,teremgarázs hely - megvásárolható,"7,50 M Ft",|nincs megadva|,|nincs megadva|,AA+,
24.5,"VIII. kerület, Bezerédj utca 11.",36.0,1.0,0,,jó állapotú,1950 előtt,összkomfortos,félemelet,2,nincs,3 m-nél magasabb,nincs,nem,50 m|3|/hó,50 kWh/hó,7 000  Ft/hó,15 000  Ft/hó,egy helyiségben,kelet,udvari,|nincs megadva|,igen,|nincs megadva|,"utca, közterület - fizetős övezet",,gáz (konvektor),nincs,|nincs megadva|,
94.99,"VIII. kerület, Józsefváros - Palotanegyed ",98.0,4.0,0,,jó állapotú,1950 előtt,összkomfortos,2,|nincs megadva|,|nincs megadva|,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,északkelet,utcai,|nincs megadva|,|nincs megadva|,nem tetőtéri,|nincs megadva|,,gázkazán,|nincs megadva|,|nincs megadva|,
35.0,"VIII. kerület, Alföldi utca ",57.0,2.0,0,,felújítandó,1950 előtt,összkomfortos,1,3,nincs,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,13 000  Ft/hó,|nincs megadva|,északkelet,utcai,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,gáz (konvektor),|nincs megadva|,|nincs megadva|,
72.99,"VIII. kerület, Józsefváros - Corvinnegyed ",69.0,3.0,0,6.0,újszerű,2011,összkomfortos,3,8,van,3 m-nél alacsonyabb,van,igen,|nincs megadva|,200 kWh/hó,40  Ft/hó,20  Ft/hó,külön helyiségben,délnyugat,kertre néz,6 m|2|,nem,nem tetőtéri,teremgarázs hely - megvásárolható,|nincs megadva|,házközponti egyedi méréssel,nincs,CC,
47.53,"VIII. kerület, Corvin sétány 2.",33.0,1.0,0,25.0,újszerű,2001 és 2010 között,összkomfortos,földszint,9,van,3 m-nél alacsonyabb,van,igen,Nincs gáz bekötve az ingatlanba,|nincs megadva|,30 000  Ft/hó,|nincs megadva|,egy helyiségben,kelet,kertre néz,25 m|2|,igen,|nincs megadva|,|nincs megadva|,,házközponti egyedi méréssel,|nincs megadva|,AA,
21.0,"VIII. kerület, Bacsó Béla utca ",47.0,1.0,0,,jó állapotú,1950 előtt,összkomfortos,szuterén,3,nincs,3 m-nél alacsonyabb,nincs,nem,|nincs megadva|,|nincs megadva|,5 000  Ft/hó,15  Ft/hó,külön helyiségben,|nincs megadva|,utcai,|nincs megadva|,igen,nem tetőtéri,"utca, közterület - fizetős övezet",,|nincs megadva|,nincs,|nincs megadva|,
22.9,"VIII. kerület, Reguly Antal utca ",36.0,2.0,0,,felújítandó,1950 előtt,komfortos,szuterén,|nincs megadva|,nincs,3 m-nél alacsonyabb,|nincs megadva|,nem,100 m|3|/hó,200 kWh/hó,8 000  Ft/hó,|nincs megadva|,|nincs megadva|,dél,utcai,|nincs megadva|,igen,nem tetőtéri,"utca, közterület",,gáz (konvektor),|nincs megadva|,|nincs megadva|,
140.0,"VIII. kerület, Baross utca ",137.0,3.0,1.0,,felújított,|nincs megadva|,duplakomfortos,1,4,van,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön és egyben is,|nincs megadva|,utcai,|nincs megadva|,|nincs megadva|,|nincs megadva|,"utca, közterület - fizetős övezet",,gázkazán,|nincs megadva|,|nincs megadva|,
49.9,"VIII. kerület, Századosnegyed ",68.0,2.0,0,,felújított,|nincs megadva|,összkomfortos,földszint,|nincs megadva|,|nincs megadva|,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,|nincs megadva|,udvari,|nincs megadva|,igen,|nincs megadva|,"utca, közterület",,"gáz (konvektor), hűtő-fűtő klíma",van,|nincs megadva|,
35.0,"VIII. kerület, József körút ",40.0,3.0,0,,közepes állapotú,|nincs megadva|,|nincs megadva|,földszint,|nincs megadva|,|nincs megadva|,3 m-nél magasabb,van,|nincs megadva|,Nincs gáz bekötve az ingatlanba,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,|nincs megadva|,udvari,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,egyéb,|nincs megadva|,|nincs megadva|,
29.9,"VIII. kerület, Dobozi utca ",42.0,1.0,2.0,,jó állapotú,1950 előtt,összkomfortos,földszint,3,nincs,3 m-nél magasabb,nincs,nem,100 m|3|/hó,80 kWh/hó,15 000 000  Ft/hó,16 500  Ft/hó,egy helyiségben,kelet,utcai,|nincs megadva|,nem,nem tetőtéri,"utca, közterület - fizetős övezet",,gáz (konvektor),|nincs megadva|,|nincs megadva|,
45.9,"VIII. kerület, Leonardo da Vinci utca ",55.0,2.0,1.0,,jó állapotú,1981 és 2000 között,összkomfortos,10,10,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,14 500  Ft/hó,külön helyiségben,nyugat,panorámás,|nincs megadva|,|nincs megadva|,,"utca, közterület - fizetős övezet",,|nincs megadva|,|nincs megadva|,|nincs megadva|,
93.8,"VIII. kerület, Szentkirályi utca ",134.0,4.0,0,,jó állapotú,1950 előtt,komfortos,félemelet,5,|nincs megadva|,3 m-nél magasabb,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,27 000  Ft/hó,|nincs megadva|,külön helyiségben,kelet,utcai,|nincs megadva|,|nincs megadva|,|nincs megadva|,"utca, közterület - fizetős övezet",,gázkazán,|nincs megadva|,|nincs megadva|,
