price,adress,size,rooms,half_rooms,Ingatlan állapota,Építés éve,Komfort,Emelet,Épület szintjei,Lift,Belmagasság,Légkondicionáló,Akadálymentesített,"Átlag gázfogyasztás
                            |info|","Átlag áramfogyasztás
                            |info|",Rezsiköltség,Közös költség,Fürdő és wc,Tájolás,Kilátás,Erkély mérete,Kertkapcsolatos,Tetőtér,Parkolás,Parkolóhely ára,Fűtés,Szigetelés,Energiatanúsítvány,balcony,Panelprogram
84.0,"III. kerület, Testvérhegy - Óbuda-lakókert ",69.0,3.0,0,jó állapotú,|nincs megadva|,összkomfortos,2,4,van,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,27 000  Ft/hó,külön helyiségben,|nincs megadva|,|nincs megadva|,14 m|2|,|nincs megadva|,|nincs megadva|,teremgarázs hely,,gázkazán,|nincs megadva|,|nincs megadva|,14.0,
109.0,"II. kerület, Margit körút ",103.0,3.0,0,közepes állapotú,1950 előtt,összkomfortos,2,3,van,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,32 000  Ft/hó,külön és egyben is,|nincs megadva|,utcai,3 m|2|,|nincs megadva|,nem tetőtéri,|nincs megadva|,,gázkazán,|nincs megadva|,|nincs megadva|,3.0,
35.9,"III. kerület, Hollós Korvin Lajos utca ",57.0,1.0,2.0,felújítandó,1950 és 1980 között,összkomfortos,4,10,van,3 m-nél alacsonyabb,nincs,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,délnyugat,panorámás,|nincs megadva|,nem,nem tetőtéri,"utca, közterület - ingyenes",,távfűtés egyedi méréssel,|nincs megadva|,|nincs megadva|,,|nincs megadva|
150.0,"II. kerület, Hűvösvölgyi út ",115.0,3.0,3.0,jó állapotú,1950 előtt,duplakomfortos,1,|nincs megadva|,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,25 000  Ft/hó,|nincs megadva|,délnyugat,kertre néz,17 m|2|,|nincs megadva|,nem tetőtéri,|nincs megadva|,,gázkazán,|nincs megadva|,|nincs megadva|,17.0,
39.9,"I. kerület, Hess András tér ",41.0,1.0,1.0,felújított,1950 előtt,összkomfortos,földszint,2,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,|nincs megadva|,utcai,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,gázkazán,|nincs megadva|,|nincs megadva|,,
73.9,"I. kerület, Víziváros - Váralja ",69.0,3.0,0,felújítandó,|nincs megadva|,|nincs megadva|,1,4,van,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,észak,udvari,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,házközponti,nincs,|nincs megadva|,,
87.0,"III. kerület, Rómaifürdő - Rómaipart ",69.0,3.0,0,|nincs megadva|,2001 és 2010 között,összkomfortos,2,4,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,nyugat,kertre néz,7 m|2|,nem,nem tetőtéri,|nincs megadva|,,házközponti,|nincs megadva|,|nincs megadva|,7.0,
44.9,"III. kerület, Hatvany Lajos utca ",49.0,2.0,0,felújított,1950 és 1980 között,összkomfortos,7,10,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,kelet,panorámás,4 m|2|,|nincs megadva|,|nincs megadva|,"utca, közterület - ingyenes",,távfűtés,|nincs megadva|,|nincs megadva|,4.0,részt vett
99.99,"III. kerület, Nánási út ",53.0,2.0,0,újszerű,2011,összkomfortos,1,4,van,3 m-nél alacsonyabb,van,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,délnyugat,kertre néz,10 m|2|,|nincs megadva|,|nincs megadva|,udvari beálló - kötelező megvenni,70 M Ft,gázkazán,van - 15 cm,|nincs megadva|,10.0,
92.0,"II. kerület, Országút ",92.0,3.0,0,felújított,1950 és 1980 között,|nincs megadva|,félemelet,5,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,északkelet,utcai,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,gázkazán,|nincs megadva|,|nincs megadva|,,
471.44,"I. kerület, Fő utca ",226.0,10.0,0,felújított,|nincs megadva|,|nincs megadva|,5,5,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,74 806  Ft/hó,külön helyiségben,|nincs megadva|,panorámás,|nincs megadva|,|nincs megadva|,tetőtéri,|nincs megadva|,,gázkazán,|nincs megadva|,|nincs megadva|,,
60.9,"III. kerület, Folyondár utca ",43.0,2.0,1.0,felújított,1950 és 1980 között,összkomfortos,félemelet,2,nincs,3 m-nél alacsonyabb,|nincs megadva|,nem,Nincs gáz bekötve az ingatlanba,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,délkelet,kertre néz,|nincs megadva|,nem,nem tetőtéri,udvari beálló - benne van az árban,,|nincs megadva|,|nincs megadva|,|nincs megadva|,,
84.0,"III. kerület, Rómaifürdő ",67.0,2.0,1.0,jó állapotú,1981 és 2000 között,összkomfortos,földszint,|nincs megadva|,|nincs megadva|,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,nyugat,kertre néz,30 m|2|,|nincs megadva|,nem tetőtéri,|nincs megadva|,,gázkazán,|nincs megadva|,|nincs megadva|,30.0,
58.9,"III. kerület, Reviczky ezredes utca ",80.0,4.0,0,közepes állapotú,1981 és 2000 között,összkomfortos,3,3,nincs,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,17 000  Ft/hó,12  Ft/hó,külön helyiségben,délnyugat,kertre néz,3 m|2|,|nincs megadva|,|nincs megadva|,"utca, közterület",,távfűtés,|nincs megadva|,|nincs megadva|,3.0,|nincs megadva|
199.9,"II. kerület, Pentelei Molnár utca ",102.0,3.0,0,felújított,1950 és 1980 között,összkomfortos,2,|nincs megadva|,nincs,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,|nincs megadva|,panorámás,15 m|2|,nem,nem tetőtéri,teremgarázs hely - benne van az árban,,gázkazán,|nincs megadva|,|nincs megadva|,15.0,
57.7,"III. kerület, Óbudai lakótelep ",66.0,3.0,0,jó állapotú,1950 és 1980 között,|nincs megadva|,1,|nincs megadva|,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,21 000  Ft/hó,|nincs megadva|,délkelet,utcai,|nincs megadva|,|nincs megadva|,nem tetőtéri,|nincs megadva|,,távfűtés egyedi méréssel,van,CC,,|nincs megadva|
65.0,"III. kerület, Pacsirtamező utca 3.",52.0,2.0,0,jó állapotú,2001 és 2010 között,komfortos,2,8,van,|nincs megadva|,van,igen,|nincs megadva|,|nincs megadva|,15 000  Ft/hó,20 000  Ft/hó,külön és egyben is,|nincs megadva|,udvari,10 m|2|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,házközponti egyedi méréssel,|nincs megadva|,|nincs megadva|,10.0,
106.0,"III. kerület, Római part 37.",50.0,2.0,0,újszerű,2016,|nincs megadva|,1,|nincs megadva|,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,10 m|2|,|nincs megadva|,nem tetőtéri,udvari beálló - benne van az árban,,gázkazán,van,|nincs megadva|,10.0,
119.0,"III. kerület, San Marco utca 66.",56.0,2.0,0,újszerű,2023,összkomfortos,4,5,van,3 m-nél alacsonyabb,van,igen,Nincs gáz bekötve az ingatlanba,|nincs megadva|,|nincs megadva|,65 000  Ft/hó,egy helyiségben,nyugat,panorámás,11 m|2|,|nincs megadva|,nem tetőtéri,teremgarázs hely - kötelező megvenni,8 M Ft,"hőszivattyú, padlófűtés, fan-coil",van,AA+,11.0,
58.99,"III. kerület, Óbuda-Óváros ",40.0,1.0,1.0,|nincs megadva|,2024,összkomfortos,földszint,4,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,dél,udvari,14.7 m|2|,igen,|nincs megadva|,|nincs megadva|,,"hőszivattyú, mennyezeti hűtés-fűtés",van - 12 cm,AA++,14.7,
92.0,"III. kerület, Nánási út ",64.0,3.0,0,újszerű,2001 és 2010 között,luxus,földszint,3,van,3 m-nél magasabb,nincs,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,38 000  Ft/hó,egy helyiségben,dél,kertre néz,15 m|2|,igen,nem tetőtéri,teremgarázs hely - bérelhető,30 000  Ft/hó,gázkazán,van,|nincs megadva|,15.0,
