price,adress,size,rooms,half_rooms,balcony,Ingatlan állapota,Építés éve,Komfort,Emelet,Épület szintjei,Lift,Belmagasság,Légkondicionáló,Akadálymentesített,"Átlag gázfogyasztás
                            |info|","Átlag áramfogyasztás
                            |info|",Rezsiköltség,Közös költség,Fürdő és wc,Tájolás,Kilátás,Erkély mérete,Kertkapcsolatos,Tetőtér,Panelprogram,Parkolás,Fűtés,Szigetelés,Energiatanúsítvány,Parkolóhely ára
42.2,"IV. kerület, Megyeri út ",54.0,1.0,1.0,2.0,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,2 m|2|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,
60.0,"IV. kerület, Árpád út ",55.0,2.0,0,,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,
38.0,"IV. kerület, Munkásotthon utca ",37.0,1.0,1.0,,újszerű,2001 és 2010 között,összkomfortos,3,5,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,|nincs megadva|,udvari,|nincs megadva|,nem,nem tetőtéri,,|nincs megadva|,házközponti egyedi méréssel,van,|nincs megadva|,
170.0,"V. kerület, Báthory utca ",75.0,2.0,0,4.0,felújított,1950 előtt,luxus,1,6,van,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,14 000  Ft/hó,külön és egyben is,kelet,utcai,4 m|2|,|nincs megadva|,nem tetőtéri,,"utca, közterület","elektromos fűtőpanel, hűtő-fűtő klíma",van,|nincs megadva|,
42.9,"V. kerület, Balassi Bálint utca ",23.0,1.0,0,,felújított,|nincs megadva|,|nincs megadva|,1,|nincs megadva|,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,Nincs gáz bekötve az ingatlanba,|nincs megadva|,|nincs megadva|,13 000  Ft/hó,egy helyiségben,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,|nincs megadva|,elektromos fűtőpanel,|nincs megadva|,|nincs megadva|,
36.9,"V. kerület, Reáltanoda utca ",29.0,1.0,0,,felújított,1950 előtt,összkomfortos,3,3,nincs,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,180 kWh/hó,30 000  Ft/hó,12 470  Ft/hó,egy helyiségben,|nincs megadva|,udvari,|nincs megadva|,|nincs megadva|,nem tetőtéri,,"utca, közterület - fizetős övezet",hűtő-fűtő klíma,van,|nincs megadva|,
150.0,"V. kerület, Zrínyi utca ",55.0,2.0,0,,felújított,|nincs megadva|,|nincs megadva|,1,|nincs megadva|,van,|nincs megadva|,van,|nincs megadva|,Nincs gáz bekötve az ingatlanba,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,|nincs megadva|,utcai,|nincs megadva|,|nincs megadva|,|nincs megadva|,,"utca, közterület",házközponti,|nincs megadva|,|nincs megadva|,
72.2,"V. kerület, Október 6. utca ",60.0,2.0,0,,közepes állapotú,|nincs megadva|,összkomfortos,3,|nincs megadva|,van,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,|nincs megadva|,udvari,|nincs megadva|,|nincs megadva|,|nincs megadva|,,"utca, közterület - fizetős övezet",házközponti,|nincs megadva|,|nincs megadva|,
49.9,"IV. kerület, Vörösmarty utca ",73.0,2.0,0,,felújított,|nincs megadva|,összkomfortos,1,2,nincs,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,30 000  Ft/hó,15 600  Ft/hó,külön helyiségben,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem tetőtéri,,"utca, közterület - ingyenes",gázkazán,|nincs megadva|,|nincs megadva|,
75.0,"V. kerület, Régi posta utca 7-9.",50.0,2.0,0,3.0,jó állapotú,1950 előtt,|nincs megadva|,félemelet,5,van,|nincs megadva|,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,17 000  Ft/hó,egy helyiségben,délnyugat,udvari,3 m|2|,nem,nem tetőtéri,,"utca, közterület - fizetős övezet",gáz (konvektor),|nincs megadva|,|nincs megadva|,
41.5,"IV. kerület, Erdősor út 26.",69.0,3.0,0,9.0,felújítandó,1981 és 2000 között,összkomfortos,3,4,nincs,3 m-nél alacsonyabb,nincs,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,37 000  Ft/hó,külön helyiségben,kelet,utcai,9 m|2|,nem,,,"utca, közterület - ingyenes",házközponti,|nincs megadva|,|nincs megadva|,
46.0,"IV. kerület, Nyár utca ",68.0,2.0,1.0,4.0,felújítandó,1950 és 1980 között,összkomfortos,2,4,nincs,3 m-nél alacsonyabb,nincs,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,17 000  Ft/hó,külön helyiségben,kelet,utcai,4 m|2|,nem,nem tetőtéri,nem vett részt,"utca, közterület - ingyenes",távfűtés egyedi méréssel,|nincs megadva|,CC,
30.9,"IV. kerület, Szent László tér ",36.0,1.0,0,,jó állapotú,1950 és 1980 között,összkomfortos,2,3,nincs,3 m-nél alacsonyabb,van,nem,|nincs megadva|,|nincs megadva|,10 000  Ft/hó,7 000  Ft/hó,egy helyiségben,nyugat,utcai,|nincs megadva|,nem,nem tetőtéri,,"utca, közterület - ingyenes",gáz (konvektor),van,|nincs megadva|,
76.0,"V. kerület, Váci utca 45.",54.0,2.0,0,,jó állapotú,1950 előtt,összkomfortos,3,4,nincs,3 m-nél magasabb,|nincs megadva|,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,észak,udvari,|nincs megadva|,|nincs megadva|,"legfelső emelet, nem tetőtéri",,|nincs megadva|,gázkazán,|nincs megadva|,|nincs megadva|,
31.5,"IV. kerület, Berda József utca ",37.0,1.0,0,,felújított,1950 előtt,összkomfortos,1,2,|nincs megadva|,3 m-nél alacsonyabb,van,nem,|nincs megadva|,|nincs megadva|,|nincs megadva|,11 026  Ft/hó,egy helyiségben,|nincs megadva|,udvari,|nincs megadva|,nem,nem tetőtéri,,"utca, közterület - ingyenes","elektromos fűtőpanel, hűtő-fűtő klíma",nincs,|nincs megadva|,
53.4,"IV. kerület, Attila utca ",49.0,2.0,0,,|nincs megadva|,2001 és 2010 között,összkomfortos,2,4,van,3 m-nél alacsonyabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,24 497  Ft/hó,külön helyiségben,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,udvari beálló - megvásárolható,|nincs megadva|,|nincs megadva|,|nincs megadva|,3 M Ft
58.5,"IV. kerület, Sárpatak utca ",73.0,3.0,0,,jó állapotú,|nincs megadva|,összkomfortos,6,10,van,3 m-nél alacsonyabb,|nincs megadva|,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,10 000  Ft/hó,külön helyiségben,|nincs megadva|,panorámás,|nincs megadva|,|nincs megadva|,nem tetőtéri,részt vett,"utca, közterület - ingyenes",távfűtés egyedi méréssel,van,|nincs megadva|,
229.0,"V. kerület, Régi posta utca ",100.0,3.0,0,,felújított,1950 előtt,duplakomfortos,2,6,van,3 m-nél magasabb,|nincs megadva|,igen,|nincs megadva|,|nincs megadva|,62 000  Ft/hó,24 000  Ft/hó,külön és egyben is,északnyugat,utcai,|nincs megadva|,nem,nem tetőtéri,,"utca, közterület - fizetős övezet",gázkazán,nincs,|nincs megadva|,
79.9,"IV. kerület, Árpád út 13.",85.0,3.0,1.0,2.0,felújított,|nincs megadva|,összkomfortos,2,2,nincs,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,25 500  Ft/hó,külön helyiségben,|nincs megadva|,|nincs megadva|,2 m|2|,nem,nem tetőtéri,,önálló garázs,gázkazán,nincs,|nincs megadva|,
50.5,"IV. kerület, Székpatak utca ",65.0,3.0,0,,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,
55.9,"IV. kerület, Kassai utca ",53.0,2.0,0,,felújított,1950 és 1980 között,összkomfortos,földszint,10,van,3 m-nél alacsonyabb,van,nem,Nincs gáz bekötve az ingatlanba,|nincs megadva|,15 000  Ft/hó,15 900  Ft/hó,külön helyiségben,|nincs megadva|,utcai,|nincs megadva|,nem,nem tetőtéri,nem vett részt,"utca, közterület - ingyenes",távfűtés,|nincs megadva|,|nincs megadva|,
54.9,"IV. kerület, Székpatak utca ",73.0,2.0,1.0,3.0,felújított,1981 és 2000 között,összkomfortos,3,10,van,3 m-nél alacsonyabb,nincs,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,13 600  Ft/hó,külön helyiségben,|nincs megadva|,|nincs megadva|,3 m|2|,nem,nem tetőtéri,|nincs megadva|,"utca, közterület - ingyenes",távfűtés,|nincs megadva|,|nincs megadva|,
42.3,"IV. kerület, Külső Szilágyi út 16.",35.0,1.0,1.0,4.0,felújított,|nincs megadva|,|nincs megadva|,7,8,van,3 m-nél alacsonyabb,van,igen,Nincs gáz bekötve az ingatlanba,100 kWh/hó,15 000  Ft/hó,6 200  Ft/hó,egy helyiségben,délnyugat,panorámás,4 m|2|,nem,nem tetőtéri,|nincs megadva|,"utca, közterület - ingyenes",távfűtés,|nincs megadva|,|nincs megadva|,
80.0,"IV. kerület, Árpád út ",70.0,1.0,2.0,,újszerű,2001 és 2010 között,összkomfortos,1,4,van,3 m-nél alacsonyabb,van,igen,|nincs megadva|,|nincs megadva|,|nincs megadva|,21 000  Ft/hó,külön helyiségben,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem tetőtéri,,teremgarázs hely - benne van az árban,házközponti egyedi méréssel,van,AA,
53.6,"V. kerület, Veres Pálné utca ",37.0,1.0,1.0,,felújított,1950 előtt,összkomfortos,2,4,van,3 m-nél magasabb,|nincs megadva|,nem,Nincs gáz bekötve az ingatlanba,|nincs megadva|,|nincs megadva|,8 500  Ft/hó,egy helyiségben,|nincs megadva|,udvari,|nincs megadva|,|nincs megadva|,nem tetőtéri,,|nincs megadva|,elektromos fűtőpanel,|nincs megadva|,|nincs megadva|,
28.0,"IV. kerület, Kossuth Lajos utca ",35.0,1.0,0,,közepes állapotú,|nincs megadva|,|nincs megadva|,1,2,nincs,|nincs megadva|,nincs,|nincs megadva|,75 m|3|/hó,175 kWh/hó,|nincs megadva|,11 000  Ft/hó,egy helyiségben,dél,utcai,|nincs megadva|,|nincs megadva|,nem tetőtéri,,|nincs megadva|,gáz (konvektor),|nincs megadva|,|nincs megadva|,
149.99,"V. kerület, Bajcsy-Zsilinszky út ",105.0,2.0,0,,|nincs megadva|,|nincs megadva|,|nincs megadva|,1,|nincs megadva|,nincs,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,utcai,|nincs megadva|,|nincs megadva|,|nincs megadva|,,"utca, közterület",|nincs megadva|,|nincs megadva|,|nincs megadva|,
37.0,"IV. kerület, Illek Vince utca ",62.0,1.0,1.0,,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,
490.0,"V. kerület, Falk Miksa utca 12.",240.0,7.0,0,156.0,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,156 m|2|,|nincs megadva|,|nincs megadva|,,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,
86.9,"IV. kerület, Ezred utca 7.",94.0,4.0,0,4.0,újszerű,2001 és 2010 között,duplakomfortos,2,2,nincs,3 m-nél alacsonyabb,van,nem,Nincs gáz bekötve az ingatlanba,10 kWh/hó,20 000  Ft/hó,20 000  Ft/hó,egy helyiségben,dél,kertre néz,4 m|2|,nem,nem tetőtéri,,teremgarázs hely - megvásárolható,"házközponti egyedi méréssel, gázkazán, házközponti",van - 15 cm,AA+,"3,50 M Ft"
138.9,"V. kerület, József nádor tér ",116.0,3.0,1.0,,jó állapotú,|nincs megadva|,összkomfortos,3,3,nincs,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,34 500  Ft/hó,egy helyiségben,|nincs megadva|,utcai,|nincs megadva|,|nincs megadva|,"legfelső emelet, nem tetőtéri",,|nincs megadva|,gáz (konvektor),|nincs megadva|,|nincs megadva|,
105.0,"IV. kerület, Károlyi István utca ",81.0,3.0,0,22.0,újszerű,2001 és 2010 között,|nincs megadva|,4,5,van,|nincs megadva|,van,igen,|nincs megadva|,|nincs megadva|,15 000  Ft/hó,35 000  Ft/hó,külön helyiségben,|nincs megadva|,panorámás,22 m|2|,nem,nem tetőtéri,,"utca, közterület - ingyenes",házközponti egyedi méréssel,van,|nincs megadva|,
62.0,"V. kerület, Semmelweis utca ",46.0,1.0,1.0,,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,
200.0,"V. kerület, Váci utca ",110.0,4.0,0,,felújított,|nincs megadva|,duplakomfortos,4,5,van,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,egy helyiségben,|nincs megadva|,udvari,|nincs megadva|,|nincs megadva|,|nincs megadva|,,"utca, közterület",gázkazán,|nincs megadva|,|nincs megadva|,
89.5,"V. kerület, Vadász utca ",68.0,2.0,0,,jó állapotú,|nincs megadva|,|nincs megadva|,1,2,nincs,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,17 000  Ft/hó,|nincs megadva|,|nincs megadva|,utcai,|nincs megadva|,|nincs megadva|,nem tetőtéri,,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,
190.0,"V. kerület, Váci utca ",100.0,4.0,0,,befejezetlen,,duplakomfortos,2,5,van,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,21 000  Ft/hó,külön és egyben is,|nincs megadva|,utcai,|nincs megadva|,|nincs megadva|,nem tetőtéri,,|nincs megadva|,"gázkazán, hűtő-fűtő klíma",|nincs megadva|,|nincs megadva|,
99.9,"V. kerület, Falk Miksa utca ",51.0,1.0,1.0,,felújított,1950 előtt,összkomfortos,3,6,van,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,|nincs megadva|,utcai,|nincs megadva|,|nincs megadva|,nem tetőtéri,,"utca, közterület","házközponti, elektromos kazán",|nincs megadva|,|nincs megadva|,
33.25,"IV. kerület, Munkásotthon utca ",37.0,1.0,1.0,,felújítandó,1950 és 1980 között,összkomfortos,4,10,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,30 m|3|/hó,60 kWh/hó,15 000  Ft/hó,12 400  Ft/hó,külön helyiségben,|nincs megadva|,panorámás,|nincs megadva|,|nincs megadva|,nem tetőtéri,részt vett,"utca, közterület - ingyenes",távfűtés egyedi méréssel,van,|nincs megadva|,
49.9,"V. kerület, Vitkovics Mihály utca ",29.0,1.0,0,,jó állapotú,|nincs megadva|,|nincs megadva|,1,|nincs megadva|,van,3 m-nél magasabb,van,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,9 000  Ft/hó,|nincs megadva|,|nincs megadva|,utcai,|nincs megadva|,|nincs megadva|,|nincs megadva|,,|nincs megadva|,"elektromos fűtőpanel, hűtő-fűtő klíma",|nincs megadva|,|nincs megadva|,
109.0,"IV. kerület, Tófalva utca ",118.0,5.0,0,7.0,jó állapotú,2001 és 2010 között,duplakomfortos,3,3,nincs,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,107 m|3|/hó,285 kWh/hó,|nincs megadva|,26 000  Ft/hó,|nincs megadva|,|nincs megadva|,kertre néz,7 m|2|,|nincs megadva|,|nincs megadva|,,|nincs megadva|,gázkazán,van,BB,
34.9,"IV. kerület, Irányi Dániel utca ",41.0,1.0,1.0,,felújított,1950 és 1980 között,összkomfortos,földszint,földszintes,|nincs megadva|,3 m-nél magasabb,nincs,igen,|nincs megadva|,|nincs megadva|,25 000  Ft/hó,13 000  Ft/hó,egy helyiségben,kelet,utcai,|nincs megadva|,nem,nem tetőtéri,,|nincs megadva|,gázkazán,van - 10 cm,|nincs megadva|,
129.0,"V. kerület, Balassi Bálint utca 2/B",53.0,1.0,1.0,4.0,jó állapotú,1950 és 1980 között,összkomfortos,1,6,van,3 m-nél magasabb,van,nem,|nincs megadva|,|nincs megadva|,30 000  Ft/hó,15 000  Ft/hó,külön helyiségben,kelet,utcai,4 m|2|,nem,nem tetőtéri,,"utca, közterület - fizetős övezet","házközponti egyedi méréssel, hűtő-fűtő klíma",van,FF,
61.9,"V. kerület, Károly körút ",48.0,1.0,0,,jó állapotú,1950 előtt,összkomfortos,4,4,van,3 m-nél magasabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,külön helyiségben,nyugat,panorámás,|nincs megadva|,|nincs megadva|,nem tetőtéri,,"utca, közterület - fizetős övezet",elektromos fűtőpanel,|nincs megadva|,|nincs megadva|,
49.2,"V. kerület, Irányi utca ",31.0,1.0,0,,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,
42.5,"IV. kerület, Árpád út ",63.0,2.0,1.0,,jó állapotú,|nincs megadva|,összkomfortos,4,5,van,3 m-nél alacsonyabb,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,|nincs megadva|,19 800  Ft/hó,külön helyiségben,délnyugat,|nincs megadva|,|nincs megadva|,|nincs megadva|,nem tetőtéri,,"utca, közterület - ingyenes",távfűtés,|nincs megadva|,|nincs megadva|,
64.9,"V. kerület, Kossuth Lajos utca 15.",60.0,1.0,1.0,,újszerű,1950 előtt,összkomfortos,3,4,van,3 m-nél magasabb,van,nem,115 m|3|/hó,95 kWh/hó,15 000  Ft/hó,18 000  Ft/hó,egy helyiségben,kelet,udvari,|nincs megadva|,nem,nem tetőtéri,,"utca, közterület",gázkazán,|nincs megadva|,|nincs megadva|,
